[05:26:45] === ConfuMPNN Phase 2 条件微调启动（v10）===
[05:26:45] device=cuda:6  epochs=16  lr=0.001  λ_c=0.5  λ_kl=0.05  λ_keep=0.5  perturb_prob=0.3  perturb_scale=4.0  placeholder_prob=0.15  charge_temp=0.5
[05:26:45] [v11 A-fix] 绝对 target 采样开：target ∈ Uniform[-35.0, 20.0]，与 native 无关（覆盖验证深负靶区）
[05:26:45] [v12] 训练侧监督开：组成双计数(floor=0.5) + GRAVY(margin=0.4)  λ_v12=0.2  λ_target=0.2  SASA θ=0.25
[05:26:45] [v10 C] pH 自适应结构惩罚开：boost=1.5
[05:26:45] [A1 global] 计数锚覆盖 surface∪pocket：floor=0.8 ceil=1.3 λ_pocket=0.3 cutoff=8.0
[05:26:47] backbone: MoMPNN 冻结（2.62M 参数，不更新）
[05:26:47] ConditionEncoder 可训练（74880 参数，唯一更新对象）
[05:26:47] 数据：1364 结构域 × 8 pH = 10912 样本（ablation/data/labels_ablate_lig.npz）
[05:26:48]   ℹ️ 1JCG.pdb 分区 pocket=53/335 core=140 surface=153
[05:29:01]   ℹ️ 1NC3.pdb 分区 pocket=69/465 core=228 surface=179
[05:29:02]   ℹ️ 1JHY.pdb 分区 pocket=41/346 core=171 surface=144
[05:29:02]   ℹ️ 1EHW.pdb 分区 pocket=29/285 core=145 surface=125
[05:29:02]   ℹ️ 1OS8.pdb resnum 对齐 202/223（21 个非标准/parse独有残基 frac=0）
[05:29:02]   ℹ️ 1OS8.pdb 分区 pocket=22/223 core=124 surface=87
[05:29:02]   ℹ️ 1CFB.pdb 分区 pocket=39/205 core=65 surface=123
[05:29:03]   ℹ️ 107L.pdb 分区 pocket=24/162 core=60 surface=89
[05:29:03]   ℹ️ 1ABA.pdb 分区 pocket=13/87 core=23 surface=56
[05:29:03]   ℹ️ 1R3U.pdb 分区 pocket=28/357 core=166 surface=171
[05:29:04]   ℹ️ 1I5Z.pdb 分区 pocket=116/408 core=128 surface=202
[05:29:04]   ℹ️ 1IOW.pdb 分区 pocket=53/306 core=119 surface=140
[05:29:05]   ℹ️ 1ROS.pdb 分区 pocket=150/318 core=72 surface=160
[05:29:05]   ℹ️ 10XP.pdb 分区 pocket=20/173 core=62 surface=107
[05:29:06]   ℹ️ 1CSC.pdb 分区 pocket=46/429 core=192 surface=207
[05:29:06]   ℹ️ 1CXA.pdb 分区 pocket=50/124 core=26 surface=69
[05:29:07]   ℹ️ 1K70.pdb 分区 pocket=18/423 core=226 surface=179
[05:29:07]   ℹ️ 1AKR.pdb 分区 pocket=37/147 core=51 surface=76
[05:29:08]   ℹ️ 1BJU.pdb resnum 对齐 217/223（6 个非标准/parse独有残基 frac=0）
[05:29:08]   ℹ️ 1BJU.pdb 分区 pocket=42/223 core=100 surface=99
[05:29:08]   ℹ️ 1FKV.pdb 分区 pocket=10/121 core=49 surface=67
[05:29:09]   ℹ️ 1KDN.pdb 分区 pocket=73/450 core=210 surface=198
[05:29:09]   ℹ️ 1LCA.pdb 分区 pocket=35/316 core=144 surface=151
[05:29:09]   ℹ️ 1EMN.pdb 分区 pocket=31/82 core=12 surface=61
[05:29:10]   ℹ️ 1BN8.pdb 分区 pocket=11/399 core=212 surface=177
[05:29:11]   ℹ️ 1PU6.pdb 分区 pocket=72/432 core=165 surface=226
[05:29:11]   ℹ️ 1KQR.pdb 分区 pocket=30/160 core=66 surface=80
[05:29:11]   ℹ️ 1DZP.pdb 分区 pocket=59/296 core=89 surface=154
[05:29:12]   ℹ️ 1OXL.pdb 分区 pocket=46/242 core=87 surface=128
[05:29:13]   ℹ️ 1KSD.pdb 分区 pocket=13/433 core=263 surface=161
[05:29:13]   ℹ️ 1D3J.pdb 分区 pocket=24/162 core=59 surface=90
[05:29:13]   ℹ️ 1FCA.pdb 分区 pocket=45/55 core=0 surface=38
[05:29:13]   ℹ️ 1OV5.pdb 分区 pocket=50/162 core=46 surface=89
[05:29:14]   ℹ️ 1NZJ.pdb 分区 pocket=10/273 core=135 surface=132
[05:29:14]   ℹ️ 1FLA.pdb 分区 pocket=31/138 core=54 surface=72
[05:29:15]   ℹ️ 1F0P.pdb 分区 pocket=74/284 core=114 surface=126
[05:29:15]   ℹ️ 1JHQ.pdb 分区 pocket=43/346 core=170 surface=143
[05:29:16]   ℹ️ 1FM7.pdb 分区 pocket=83/424 core=194 surface=184
[05:29:16]   ℹ️ 1MOS.pdb 分区 pocket=78/367 core=165 surface=161
[05:29:16]   ℹ️ 10XE.pdb 分区 pocket=44/182 core=73 surface=94
[05:29:17]   ℹ️ 1KQ0.pdb 分区 pocket=35/354 core=170 surface=156
[05:29:18]   ℹ️ 1GED.pdb 分区 pocket=64/399 core=155 surface=194
[05:29:18]   ℹ️ 1FD0.pdb 分区 pocket=63/235 core=75 surface=117
[05:29:19]   ℹ️ 1MJA.pdb 分区 pocket=47/272 core=105 surface=142
[05:29:19]   ℹ️ 1KHZ.pdb 分区 pocket=50/407 core=209 surface=165
[05:29:20]   ℹ️ 1DAD.pdb 分区 pocket=28/224 core=97 surface=113
[05:29:20]   ℹ️ 1IIT.pdb 分区 pocket=0/222 core=111 surface=111
[05:29:21]   ℹ️ 1OEW.pdb 分区 pocket=59/330 core=162 surface=151
[05:29:21]   ℹ️ 1BNN.pdb 分区 pocket=33/257 core=115 surface=117
[05:29:22]   ℹ️ 1OXC.pdb 分区 pocket=87/456 core=237 surface=168
[05:29:22]   ℹ️ 1R4Z.pdb 分区 pocket=42/358 core=167 surface=164
[05:29:23]   ℹ️ 1NNB.pdb 分区 pocket=37/387 core=207 surface=154
[05:29:24]   ℹ️ 1FKW.pdb 分区 pocket=26/349 core=191 surface=134
[05:29:24]   ℹ️ 1JDW.pdb 分区 pocket=19/360 core=204 surface=137
[05:29:25]   ℹ️ 1GRH.pdb 分区 pocket=75/461 core=192 surface=222
[05:29:26]   ℹ️ 1FS7.pdb 分区 pocket=160/471 core=151 surface=223
[05:29:26]   ℹ️ 1CAO.pdb 分区 pocket=33/259 core=118 surface=117
[05:29:27]   ℹ️ 1ND1.pdb 分区 pocket=14/201 core=92 surface=103
[05:29:27]   ℹ️ 1RGZ.pdb 分区 pocket=51/363 core=173 surface=161
[05:29:28]   ℹ️ 1PG2.pdb 分区 pocket=32/489 core=266 surface=201
[05:29:28]   ℹ️ 1MOF.pdb 分区 pocket=5/53 core=3 surface=50
[05:29:29]   ℹ️ 1LPC.pdb 分区 pocket=20/254 core=114 surface=126
[05:29:29]   ℹ️ 1DO4.pdb 分区 pocket=67/153 core=34 surface=87
[05:29:29]   ℹ️ 1CNK.pdb 分区 pocket=32/257 core=113 surface=117
[05:29:30]   ℹ️ 1LRL.pdb 分区 pocket=67/338 core=152 surface=143
[05:29:30]   ℹ️ 1L90.pdb 分区 pocket=25/162 core=60 surface=88
[05:29:30]   ℹ️ 1ANN.pdb 分区 pocket=22/311 core=148 surface=157
[05:29:30]   ℹ️ 1G3E.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:29:30]   ℹ️ 1G3E.pdb 分区 pocket=43/223 core=105 surface=96
[05:29:31]   ℹ️ 1P18.pdb 分区 pocket=75/381 core=163 surface=160
[05:29:31]   ℹ️ 1CZO.pdb 分区 pocket=44/169 core=59 surface=86
[05:29:31]   ℹ️ 1CCU.pdb 分区 pocket=32/255 core=109 surface=119
[05:29:32]   ℹ️ 1DY4.pdb 分区 pocket=80/433 core=197 surface=185
[05:29:32]   ℹ️ 1AJZ.pdb 分区 pocket=22/282 core=137 surface=133
[05:29:33]   ℹ️ 1GP0.pdb 分区 pocket=10/133 core=51 surface=79
[05:29:33]   ℹ️ 1OYC.pdb 分区 pocket=36/399 core=215 surface=152
[05:29:34]   ℹ️ 1ISC.pdb 分区 pocket=33/384 core=179 surface=178
[05:29:35]   ℹ️ 1HIY.pdb 分区 pocket=62/450 core=217 surface=201
[05:29:36]   ℹ️ 1GWF.pdb 分区 pocket=130/493 core=153 surface=257
[05:29:36]   ℹ️ 1K5C.pdb 分区 pocket=37/333 core=167 surface=156
[05:29:37]   ℹ️ 1NOM.pdb 分区 pocket=9/242 core=105 surface=131
[05:29:37]   ℹ️ 1KWY.pdb 分区 pocket=81/447 core=184 surface=231
[05:29:38]   ℹ️ 158L.pdb 分区 pocket=24/162 core=60 surface=89
[05:29:38]   ℹ️ 1HBI.pdb 分区 pocket=66/290 core=104 surface=142
[05:29:39]   ℹ️ 1E43.pdb 分区 pocket=51/483 core=254 surface=194
[05:29:39]   ⚠️ 跳过坏域 1OBP.pdb: index 0 is out of bounds for dimension 1 with size 0
[05:29:40]   ℹ️ 1HVF.pdb 分区 pocket=35/313 core=140 surface=164
[05:29:40]   ℹ️ 1PMJ.pdb 分区 pocket=32/185 core=79 surface=90
[05:29:40]   ℹ️ 1IP2.pdb 分区 pocket=0/130 core=63 surface=67
[05:29:41]   ℹ️ 1DRY.pdb 分区 pocket=85/316 core=136 surface=135
[05:29:41]   ℹ️ 1NVK.pdb 分区 pocket=35/351 core=172 surface=157
[05:29:41]   ℹ️ 1G35.pdb 分区 pocket=42/198 core=71 surface=98
[05:29:42]   ℹ️ 1HFZ.pdb resnum 对齐 486/491（5 个非标准/parse独有残基 frac=0）
[05:29:42]   ℹ️ 1HFZ.pdb 分区 pocket=60/491 core=199 surface=259
[05:29:42]   ℹ️ 1AAN.pdb 分区 pocket=14/105 core=38 surface=60
[05:29:43]   ℹ️ 1ADD.pdb 分区 pocket=28/349 core=188 surface=135
[05:29:44]   ℹ️ 1EU8.pdb 分区 pocket=60/407 core=202 surface=165
[05:29:44]   ℹ️ 1HRS.pdb 分区 pocket=26/174 core=67 surface=97
[05:29:44]   ℹ️ 1D2T.pdb 分区 pocket=19/222 core=100 surface=106
[05:29:45]   ℹ️ 1OI6.pdb 分区 pocket=64/404 core=187 surface=174
[05:29:46]   ℹ️ 1L3F.pdb 分区 pocket=49/316 core=151 surface=135
[05:29:46]   ℹ️ 1PPL.pdb 分区 pocket=62/323 core=139 surface=146
[05:29:47]   ℹ️ 1KV7.pdb 分区 pocket=35/463 core=244 surface=184
[05:29:48]   ℹ️ 1LII.pdb 分区 pocket=73/331 core=131 surface=146
[05:29:48]   ℹ️ 1FW8.pdb 分区 pocket=52/415 core=214 surface=175
[05:29:49]   ℹ️ 1BVW.pdb 分区 pocket=44/360 core=182 surface=156
[05:29:50]   ℹ️ 1AR5.pdb 分区 pocket=22/402 core=180 surface=200
[05:29:50]   ℹ️ 1JHA.pdb 分区 pocket=43/346 core=169 surface=145
[05:29:50]   ℹ️ 1AUQ.pdb 分区 pocket=6/208 core=106 surface=100
[05:29:51]   ℹ️ 1DJ5.pdb 分区 pocket=47/291 core=134 surface=125
[05:29:52]   ℹ️ 1FL2.pdb 分区 pocket=85/310 core=116 surface=145
[05:29:52]   ℹ️ 1NCH.pdb 分区 pocket=13/198 core=84 surface=112
[05:29:52]   ℹ️ 1O3D.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:29:52]   ℹ️ 1O3D.pdb 分区 pocket=45/223 core=101 surface=98
[05:29:52]   ℹ️ 1J15.pdb resnum 对齐 217/223（6 个非标准/parse独有残基 frac=0）
[05:29:52]   ℹ️ 1J15.pdb 分区 pocket=49/223 core=97 surface=96
[05:29:53]   ℹ️ 1L9K.pdb 分区 pocket=52/261 core=109 surface=123
[05:29:53]   ℹ️ 1GDJ.pdb 分区 pocket=38/153 core=44 surface=88
[05:29:54]   ℹ️ 1R85.pdb 分区 pocket=148/371 core=131 surface=164
[05:29:54]   ℹ️ 1LQK.pdb 分区 pocket=38/268 core=114 surface=128
[05:29:55]   ℹ️ 1GJV.pdb 分区 pocket=79/313 core=120 surface=149
[05:29:55]   ℹ️ 1GVD.pdb 分区 pocket=12/52 core=13 surface=34
[05:29:55]   ℹ️ 1LF2.pdb 分区 pocket=31/329 core=158 surface=148
[05:29:55]   ℹ️ 1CRH.pdb 分区 pocket=60/107 core=14 surface=58
[05:29:56]   ℹ️ 1H9J.pdb 分区 pocket=28/145 core=41 surface=92
[05:29:56]   ℹ️ 1K4Q.pdb 分区 pocket=81/459 core=190 surface=219
[05:29:56]   预解析+encode 399/1364（跳过 1）
[05:29:57]   ℹ️ 1E25.pdb resnum 对齐 269/278（9 个非标准/parse独有残基 frac=0）
[05:29:57]   ℹ️ 1E25.pdb 分区 pocket=15/278 core=150 surface=116
[05:29:57]   ℹ️ 1OTB.pdb 分区 pocket=23/125 core=46 surface=66
[05:29:57]   ℹ️ 1D3G.pdb 分区 pocket=103/360 core=138 surface=151
[05:29:58]   ℹ️ 1LJG.pdb 分区 pocket=71/258 core=91 surface=132
[05:29:58]   ℹ️ 1EUS.pdb 分区 pocket=27/358 core=191 surface=145
[05:29:58]   ℹ️ 1JSZ.pdb 分区 pocket=47/291 core=128 surface=136
[05:29:59]   ℹ️ 1GIR.pdb 分区 pocket=35/411 core=193 surface=199
[05:29:59]   ℹ️ 1FFH.pdb 分区 pocket=3/287 core=149 surface=138
[05:30:00]   ℹ️ 1AQ6.pdb 分区 pocket=39/490 core=266 surface=188
[05:30:01]   ℹ️ 1KBB.pdb 分区 pocket=37/495 core=265 surface=198
[05:30:02]   ℹ️ 1OFC.pdb 分区 pocket=23/266 core=101 surface=159
[05:30:02]   ℹ️ 1R3C.pdb 分区 pocket=6/349 core=174 surface=173
[05:30:03]   ℹ️ 1OHP.pdb 分区 pocket=85/500 core=186 surface=258
[05:30:03]   ℹ️ 1GTK.pdb 分区 pocket=42/294 core=126 surface=136
[05:30:04]   ℹ️ 1RB3.pdb 分区 pocket=117/318 core=96 surface=158
[05:30:04]   ℹ️ 1HXB.pdb 分区 pocket=43/198 core=72 surface=102
[05:30:05]   ℹ️ 1ABS.pdb 分区 pocket=39/154 core=47 surface=89
[05:30:05]   ℹ️ 1IR0.pdb 分区 pocket=41/81 core=13 surface=51
[05:30:05]   ℹ️ 1BXV.pdb 分区 pocket=17/91 core=25 surface=56
[05:30:05]   ℹ️ 1FRQ.pdb 分区 pocket=52/296 core=126 surface=141
[05:30:06]   ℹ️ 1MG4.pdb 分区 pocket=25/101 core=34 surface=57
[05:30:06]   ℹ️ 1RMY.pdb 分区 pocket=52/418 core=174 surface=204
[05:30:07]   ℹ️ 1MEW.pdb 分区 pocket=47/344 core=166 surface=152
[05:30:07]   ℹ️ 1P39.pdb 分区 pocket=55/291 core=126 surface=134
[05:30:08]   ℹ️ 1NZ7.pdb 分区 pocket=44/282 core=136 surface=122
[05:30:08]   ℹ️ 1F4B.pdb 分区 pocket=51/263 core=114 surface=122
[05:30:08]   ℹ️ 1GCA.pdb 分区 pocket=35/309 core=146 surface=136
[05:30:09]   ℹ️ 1GCB.pdb 分区 pocket=86/448 core=183 surface=207
[05:30:10]   ℹ️ 1DZX.pdb 分区 pocket=37/208 core=80 surface=106
[05:30:10]   ℹ️ 1ESK.pdb 分区 pocket=31/42 core=0 surface=31
[05:30:10]   ℹ️ 1H4E.pdb 分区 pocket=12/188 core=90 surface=94
[05:30:10]   ℹ️ 1FKD.pdb 分区 pocket=23/107 core=31 surface=63
[05:30:11]   ℹ️ 1AU1.pdb 分区 pocket=22/329 core=147 surface=175
[05:30:11]   ℹ️ 1E99.pdb 分区 pocket=54/209 core=73 surface=100
[05:30:12]   ℹ️ 1CAM.pdb 分区 pocket=31/258 core=114 surface=118
[05:30:12]   ℹ️ 1I58.pdb 分区 pocket=74/364 core=131 surface=185
[05:30:12]   ℹ️ 1CC3.pdb 分区 pocket=42/260 core=94 surface=137
[05:30:13]   ℹ️ 1OTD.pdb 分区 pocket=70/210 core=54 surface=110
[05:30:13]   ℹ️ 1KK1.pdb 分区 pocket=46/397 core=188 surface=190
[05:30:14]   ℹ️ 1KT7.pdb 分区 pocket=37/175 core=58 surface=93
[05:30:14]   ℹ️ 1O2T.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:30:14]   ℹ️ 1O2T.pdb 分区 pocket=45/223 core=104 surface=95
[05:30:14]   ℹ️ 1OS0.pdb 分区 pocket=63/316 core=138 surface=141
[05:30:15]   ℹ️ 16PK.pdb 分区 pocket=47/415 core=201 surface=182
[05:30:16]   ℹ️ 1BQU.pdb 分区 pocket=77/423 core=153 surface=239
[05:30:16]   ℹ️ 1P2P.pdb 分区 pocket=16/124 core=38 surface=76
[05:30:16]   ℹ️ 1A70.pdb 分区 pocket=22/97 core=28 surface=58
[05:30:17]   ℹ️ 1EKO.pdb 分区 pocket=64/314 core=133 surface=138
[05:30:18]   ℹ️ 1KV5.pdb 分区 pocket=108/498 core=233 surface=202
[05:30:19]   ℹ️ 1GLM.pdb 分区 pocket=112/470 core=243 surface=174
[05:30:19]   ℹ️ 1M6C.pdb 分区 pocket=75/306 core=87 surface=178
[05:30:20]   ℹ️ 1M0S.pdb 分区 pocket=50/438 core=216 surface=182
[05:30:20]   ℹ️ 1F2C.pdb resnum 对齐 196/215（19 个非标准/parse独有残基 frac=0）
[05:30:20]   ℹ️ 1F2C.pdb 分区 pocket=34/215 core=107 surface=88
[05:30:21]   ℹ️ 13ZH.pdb 分区 pocket=139/457 core=170 surface=226
[05:30:21]   ℹ️ 1SKJ.pdb 分区 pocket=25/102 core=30 surface=62
[05:30:21]   ℹ️ 1MMK.pdb 分区 pocket=59/309 core=127 surface=136
[05:30:22]   ℹ️ 13YG.pdb 分区 pocket=157/457 core=164 surface=227
[05:30:22]   ℹ️ 1GUU.pdb 分区 pocket=11/50 core=10 surface=36
[05:30:23]   ℹ️ 1F75.pdb 分区 pocket=24/429 core=225 surface=187
[05:30:24]   ℹ️ 1GRG.pdb 分区 pocket=75/460 core=191 surface=225
[05:30:25]   ℹ️ 1M2N.pdb 分区 pocket=123/498 core=198 surface=232
[05:30:26]   ℹ️ 1E1T.pdb 分区 pocket=111/485 core=174 surface=238
[05:30:26]   ℹ️ 1I8U.pdb 分区 pocket=38/189 core=75 surface=90
[05:30:26]   ℹ️ 1MNO.pdb 分区 pocket=74/306 core=88 surface=174
[05:30:27]   ℹ️ 1F7Q.pdb 分区 pocket=57/347 core=153 surface=162
[05:30:28]   ℹ️ 1BSM.pdb 分区 pocket=20/402 core=182 surface=200
[05:30:29]   ℹ️ 1PMI.pdb 分区 pocket=11/440 core=233 surface=196
[05:30:30]   ℹ️ 1GSU.pdb 分区 pocket=60/434 core=202 surface=184
[05:30:30]   ℹ️ 1MC2.pdb 分区 pocket=19/122 core=49 surface=64
[05:30:30]   ℹ️ 1G3Q.pdb 分区 pocket=38/237 core=109 surface=105
[05:30:31]   ℹ️ 1DAF.pdb 分区 pocket=46/224 core=90 surface=112
[05:30:31]   ℹ️ 1K6R.pdb 分区 pocket=53/474 core=228 surface=217
[05:30:32]   ℹ️ 1G2N.pdb 分区 pocket=45/246 core=90 surface=127
[05:30:32]   ℹ️ 1DUC.pdb 分区 pocket=17/118 core=34 surface=78
[05:30:32]   ℹ️ 1C45.pdb 分区 pocket=0/130 core=61 surface=69
[05:30:32]   ℹ️ 1MBC.pdb 分区 pocket=43/153 core=44 surface=88
[05:30:33]   ℹ️ 1DHJ.pdb 分区 pocket=84/318 core=113 surface=158
[05:30:34]   ℹ️ 1AR4.pdb 分区 pocket=22/402 core=182 surface=198
[05:30:34]   ℹ️ 1MUA.pdb 分区 pocket=37/256 core=110 surface=118
[05:30:34]   ℹ️ 1JVJ.pdb 分区 pocket=66/263 core=110 surface=117
[05:30:34]   ℹ️ 1GGZ.pdb 分区 pocket=44/144 core=26 surface=99
[05:30:35]   ℹ️ 1N1G.pdb 分区 pocket=47/346 core=163 surface=156
[05:30:35]   ℹ️ 1BV3.pdb 分区 pocket=37/257 core=111 surface=118
[05:30:36]   ℹ️ 1PHF.pdb 分区 pocket=61/405 core=186 surface=168
[05:30:36]   ℹ️ 1C8S.pdb 分区 pocket=115/196 core=35 surface=101
[05:30:36]   ℹ️ 1BT3.pdb 分区 pocket=14/336 core=177 surface=146
[05:30:37]   ℹ️ 1DKT.pdb 分区 pocket=15/143 core=49 surface=89
[05:30:37]   ℹ️ 1FP2.pdb 分区 pocket=46/345 core=129 surface=191
[05:30:38]   ℹ️ 1RLZ.pdb 分区 pocket=39/344 core=142 surface=179
[05:30:38]   ℹ️ 1OEU.pdb 分区 pocket=28/279 core=134 surface=124
[05:30:39]   ℹ️ 1HNU.pdb 分区 pocket=45/248 core=97 surface=124
[05:30:39]   ℹ️ 1M7J.pdb 分区 pocket=29/474 core=261 surface=184
[05:30:40]   ℹ️ 1O3K.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:30:40]   ℹ️ 1O3K.pdb 分区 pocket=43/223 core=103 surface=97
[05:30:40]   ℹ️ 10EF.pdb 分区 pocket=53/351 core=133 surface=184
[05:30:41]   ℹ️ 1LCV.pdb 分区 pocket=55/239 core=79 surface=126
[05:30:41]   ℹ️ 1K1U.pdb 分区 pocket=46/198 core=72 surface=100
[05:30:41]   ℹ️ 1KS7.pdb 分区 pocket=53/316 core=141 surface=140
[05:30:42]   ℹ️ 1AOB.pdb 分区 pocket=39/264 core=115 surface=125
[05:30:42]   ℹ️ 1K4H.pdb 分区 pocket=54/371 core=175 surface=155
[05:30:44]   ℹ️ 1DMY.pdb 分区 pocket=53/474 core=229 surface=206
[05:30:45]   ℹ️ 1EM1.pdb 分区 pocket=45/396 core=172 surface=194
[05:30:45]   ℹ️ 1MJ5.pdb 分区 pocket=26/297 core=163 surface=120
[05:30:46]   ℹ️ 1KWX.pdb 分区 pocket=73/447 core=183 surface=237
[05:30:46]   ℹ️ 1KLZ.pdb 分区 pocket=37/209 core=79 surface=103
[05:30:47]   ℹ️ 1ORO.pdb 分区 pocket=17/419 core=214 surface=195
[05:30:48]   ℹ️ 1GW1.pdb 分区 pocket=64/375 core=176 surface=153
[05:30:48]   ℹ️ 1FQ6.pdb resnum 对齐 325/329（4 个非标准/parse独有残基 frac=0）
[05:30:48]   ℹ️ 1FQ6.pdb 分区 pocket=65/329 core=147 surface=149
[05:30:49]   ℹ️ 1I9P.pdb 分区 pocket=34/258 core=114 surface=121
[05:30:49]   ℹ️ 1BN3.pdb 分区 pocket=35/257 core=114 surface=116
[05:30:49]   ℹ️ 1MUY.pdb 分区 pocket=69/225 core=68 surface=118
[05:30:50]   ℹ️ 1MWO.pdb 分区 pocket=63/434 core=226 surface=171
[05:30:50]   ℹ️ 1K27.pdb 分区 pocket=42/270 core=122 surface=116
[05:30:51]   ℹ️ 1B49.pdb 分区 pocket=28/482 core=260 surface=200
[05:30:52]   ℹ️ 1PT2.pdb 分区 pocket=33/440 core=229 surface=180
[05:30:53]   ℹ️ 1BS0.pdb 分区 pocket=25/382 core=188 surface=182
[05:30:53]   ℹ️ 1DXJ.pdb 分区 pocket=8/242 core=123 surface=116
[05:30:53]   ℹ️ 1IWW.pdb 分区 pocket=18/130 core=53 surface=68
[05:30:54]   ℹ️ 1SN5.pdb 分区 pocket=76/463 core=192 surface=210
[05:30:54]   ℹ️ 1CXU.pdb 分区 pocket=20/143 core=57 surface=78
[05:30:55]   ℹ️ 1LTV.pdb 分区 pocket=12/275 core=139 surface=127
[05:30:55]   ℹ️ 1GYE.pdb 分区 pocket=52/315 core=142 surface=136
[05:30:56]   ℹ️ 1AEJ.pdb 分区 pocket=53/291 core=128 surface=124
[05:30:56]   ℹ️ 1IJI.pdb 分区 pocket=31/354 core=166 surface=164
[05:30:57]   ℹ️ 10SD.pdb 分区 pocket=65/160 core=0 surface=160
[05:30:57]   ℹ️ 1IA3.pdb 分区 pocket=114/384 core=126 surface=198
[05:30:58]   ℹ️ 1DYK.pdb 分区 pocket=24/374 core=188 surface=175
[05:30:58]   ℹ️ 1PWC.pdb 分区 pocket=26/345 core=188 surface=136
[05:30:59]   ℹ️ 1OQJ.pdb 分区 pocket=21/179 core=70 surface=101
[05:30:59]   ℹ️ 1GQ5.pdb 分区 pocket=17/91 core=30 surface=57
[05:30:59]   ℹ️ 1HYE.pdb 分区 pocket=37/307 core=140 surface=144
[05:31:00]   ℹ️ 1KGW.pdb 分区 pocket=35/495 core=274 surface=196
[05:31:01]   ℹ️ 1C0E.pdb 分区 pocket=33/308 core=133 surface=147
[05:31:01]   ℹ️ 1GIH.pdb 分区 pocket=32/276 core=117 surface=138
[05:31:01]   ℹ️ 1P92.pdb 分区 pocket=11/216 core=85 surface=127
[05:31:01]   ℹ️ 1D3W.pdb 分区 pocket=48/106 core=17 surface=60
[05:31:02]   ℹ️ 1INC.pdb resnum 对齐 228/240（12 个非标准/parse独有残基 frac=0）
[05:31:02]   ℹ️ 1INC.pdb 分区 pocket=54/240 core=112 surface=100
[05:31:02]   ℹ️ 1GF5.pdb 分区 pocket=0/130 core=62 surface=68
[05:31:03]   ℹ️ 1S9Q.pdb 分区 pocket=74/440 core=175 surface=225
[05:31:03]   ℹ️ 1IU6.pdb 分区 pocket=22/51 core=12 surface=33
[05:31:04]   ℹ️ 13XN.pdb 分区 pocket=155/457 core=162 surface=226
[05:31:04]   ℹ️ 1O3B.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:31:04]   ℹ️ 1O3B.pdb 分区 pocket=46/223 core=102 surface=97
[05:31:04]   ℹ️ 1H5E.pdb 分区 pocket=81/306 core=106 surface=139
[05:31:05]   ℹ️ 1CWR.pdb 分区 pocket=24/177 core=67 surface=93
[05:31:05]   ℹ️ 1R94.pdb 分区 pocket=18/194 core=66 surface=126
[05:31:05]   ℹ️ 1M67.pdb 分区 pocket=42/346 core=163 surface=159
[05:31:06]   ℹ️ 1M4A.pdb 分区 pocket=31/114 core=30 surface=69
[05:31:06]   ℹ️ 1KU5.pdb 分区 pocket=32/132 core=48 surface=70
[05:31:06]   ℹ️ 1H5V.pdb 分区 pocket=85/301 core=140 surface=125
[05:31:07]   ℹ️ 1RAO.pdb 分区 pocket=36/158 core=52 surface=86
[05:31:07]   ℹ️ 1LG5.pdb 分区 pocket=15/257 core=125 surface=118
[05:31:07]   ℹ️ 1BB7.pdb 分区 pocket=22/129 core=47 surface=69
[05:31:08]   ℹ️ 1Q6E.pdb 分区 pocket=54/490 core=264 surface=190
[05:31:09]   ℹ️ 1C57.pdb 分区 pocket=24/237 core=104 surface=116
[05:31:09]   ℹ️ 1BPJ.pdb 分区 pocket=29/316 core=144 surface=150
[05:31:10]   ℹ️ 1H57.pdb 分区 pocket=93/306 core=101 surface=140
[05:31:10]   ℹ️ 1JFX.pdb 分区 pocket=56/217 core=88 surface=107
[05:31:10]   ℹ️ 10XB.pdb 分区 pocket=23/99 core=29 surface=61
[05:31:11]   ℹ️ 13ZP.pdb 分区 pocket=153/457 core=160 surface=228
[05:31:11]   ℹ️ 1AS0.pdb 分区 pocket=42/308 core=137 surface=140
[05:31:12]   ℹ️ 1AVE.pdb 分区 pocket=18/239 core=70 surface=161
[05:31:13]   ℹ️ 1DNC.pdb 分区 pocket=80/460 core=186 surface=229
[05:31:13]   ℹ️ 1PE5.pdb 分区 pocket=56/317 core=141 surface=141
[05:31:14]   ℹ️ 1DEL.pdb 分区 pocket=99/472 core=180 surface=232
[05:31:15]   ℹ️ 1D7Y.pdb 分区 pocket=59/401 core=168 surface=191
[05:31:15]   ℹ️ 1G0F.pdb 分区 pocket=34/258 core=113 surface=121
[05:31:16]   ℹ️ 1K6S.pdb 分区 pocket=97/487 core=191 surface=217
[05:31:16]   ℹ️ 13PR.pdb 分区 pocket=36/313 core=144 surface=152
[05:31:17]   ℹ️ 1NLQ.pdb 分区 pocket=18/490 core=282 surface=205
[05:31:18]   ℹ️ 1MCX.pdb 分区 pocket=56/304 core=128 surface=155
[05:31:19]   ℹ️ 1K2Y.pdb 分区 pocket=20/459 core=253 surface=190
